,Mean_Sentiment,Std_Sentiment
count,2.0,2.0
mean,-0.12818346878356154,0.6443333353363094
std,0.16158820589840683,0.0357940371352616
min,-0.2424435849340931,0.6190231289519229
25%,-0.18531352685882732,0.6316782321441162
50%,-0.12818346878356154,0.6443333353363094
75%,-0.07105341070829578,0.6569884385285027
max,-0.01392335263303,0.6696435417206961
