state_to_region,mean,std,count
Midwest,-0.2820930101632362,0.6084102151024067,17691
Northeast,-0.24505674929199775,0.5964218221250458,31211
Southeast,-0.28726877806446466,0.6016909875720465,25570
Southwest,-0.282950799576198,0.5978005827319574,15934
West,-0.25195646241741715,0.6029269408242731,25795
