Activity_Category,Author_Count,Avg_Followers,Avg_Following,Avg_Total_Tweets,Avg_Dataset_Tweets,Avg_Activity_Score,Avg_Sentiment
Least Active,140314,111.38301951337714,259.5093290762148,2763.216564277264,1.098863976509828,3.189298107185318,-0.2315104150758469
Medium Active,140314,701.5378365665579,876.6722422566529,21152.049097025243,1.2165571503912653,4.3214118950327824,-0.3028297162758086
Most Active,140314,19798.252939834943,2686.8949498980855,85440.45658309221,3.6817708853001125,6.1571945034297295,-0.2910905242160844
